City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Valdivia,CL,2020-12-23 09:23:03,-39.81,-73.25,42.8,100,90,1.41
70,Port Lincoln,AU,2020-12-23 09:19:32,-34.73,135.87,61.2,70,0,14.07
71,Totness,SR,2020-12-23 09:23:03,5.88,-56.32,76.8,90,100,10.04
72,Ivybridge,GB,2020-12-23 09:23:03,50.39,-3.92,52.0,99,67,3.0
73,Kodiak,US,2020-12-23 09:23:04,57.79,-152.41,26.6,92,1,4.7
74,Murashi,RU,2020-12-23 09:23:04,59.4,48.96,27.3,98,97,6.82
75,Comodoro Rivadavia,AR,2020-12-23 09:23:04,-45.87,-67.5,62.6,42,0,14.99
76,Chuy,UY,2020-12-23 09:23:04,-33.7,-53.46,57.63,92,0,2.93
77,Lompoc,US,2020-12-23 09:23:04,34.64,-120.46,46.99,100,90,4.7
78,Norman Wells,CA,2020-12-23 09:23:04,65.28,-126.83,-13.0,75,20,9.17
79,Hami,CN,2020-12-23 09:23:04,42.8,93.45,23.56,74,0,4.99
80,Malakal,SS,2020-12-23 09:23:04,9.53,31.66,96.67,15,14,12.37
81,Upernavik,GL,2020-12-23 09:23:05,72.79,-56.15,17.11,85,84,7.45
82,Caravelas,BR,2020-12-23 09:23:05,-17.71,-39.25,76.26,81,21,8.25
83,Castro,BR,2020-12-23 09:23:05,-24.79,-50.01,58.59,95,81,7.2
84,Key West,US,2020-12-23 09:23:05,24.56,-81.78,66.99,88,1,8.05
85,Tabou,CI,2020-12-23 09:23:05,4.42,-7.35,80.42,78,64,4.29
86,Bluff,NZ,2020-12-23 09:23:05,-46.6,168.33,55.0,96,100,7.0
87,Darnah,LY,2020-12-23 09:23:05,32.77,22.64,62.19,66,81,12.21
88,Meulaboh,ID,2020-12-23 09:23:05,4.14,96.13,83.75,72,61,7.76
89,Prince Rupert,CA,2020-12-23 09:23:06,54.32,-130.32,42.8,60,90,21.92
90,Coihaique,CL,2020-12-23 09:23:06,-45.58,-72.07,50.0,81,90,6.93
91,Bulgan,MN,2020-12-23 09:23:06,48.81,103.53,2.73,82,24,5.08
92,Cherkasskoye,RU,2020-12-23 09:23:06,52.43,47.22,11.73,93,1,2.62
93,Dharchula,IN,2020-12-23 09:23:06,29.85,80.53,67.98,18,1,6.02
94,Talnakh,RU,2020-12-23 09:23:06,69.49,88.4,-43.6,72,20,2.24
95,Mar Del Plata,AR,2020-12-23 09:23:07,-38.0,-57.56,69.01,72,0,12.75
96,Sri Aman,MY,2020-12-23 09:23:07,1.24,111.46,87.8,79,40,3.36
97,Belmonte,BR,2020-12-23 09:23:07,-15.86,-38.88,75.2,83,20,3.36
98,Wanning,CN,2020-12-23 09:23:07,18.8,110.4,70.83,86,91,12.1
99,Iqaluit,CA,2020-12-23 09:23:07,63.75,-68.51,-9.0,69,20,3.36
100,Khatanga,RU,2020-12-23 09:23:07,71.97,102.5,-21.69,86,96,8.19
101,Wajid,SO,2020-12-23 09:23:07,3.81,43.25,92.08,23,35,19.8
102,Punta Arenas,CL,2020-12-23 09:23:08,-53.15,-70.92,48.2,82,100,14.99
103,Sao Joao Da Barra,BR,2020-12-23 09:23:08,-21.64,-41.05,74.43,93,99,10.54
104,Chicama,PE,2020-12-23 09:23:08,-7.84,-79.15,68.29,78,98,4.7
105,Barrancas,CO,2020-12-23 09:23:08,10.96,-72.79,72.0,89,36,2.17
106,East London,ZA,2020-12-23 09:23:08,-33.02,27.91,73.4,83,40,13.87
107,Narsaq,GL,2020-12-23 09:23:08,60.92,-46.05,44.6,36,100,17.22
108,Faanui,PF,2020-12-23 09:23:08,-16.48,-151.75,80.46,76,41,13.24
109,Moose Factory,CA,2020-12-23 09:23:09,51.26,-80.61,1.4,84,90,2.24
110,Belaya Gora,RU,2020-12-23 09:23:09,68.53,146.42,-23.89,86,100,7.81
111,Minab,IR,2020-12-23 09:21:46,27.15,57.08,78.8,21,0,9.17
112,Bambous Virieux,MU,2020-12-23 09:23:09,-20.34,57.76,81.0,78,75,17.22
113,Lubyany,RU,2020-12-23 09:23:09,56.04,51.4,19.4,100,90,15.66
114,Tadine,NC,2020-12-23 09:23:09,-21.55,167.88,77.4,76,46,6.82
115,Cap-Aux-Meules,CA,2020-12-23 09:23:09,47.38,-61.86,32.0,92,100,24.16
116,Provideniya,RU,2020-12-23 09:23:09,64.38,-173.3,18.25,96,100,7.34
117,Carnarvon,AU,2020-12-23 09:23:09,-24.87,113.63,82.4,78,0,19.46
118,College,US,2020-12-23 09:23:10,64.86,-147.8,27.0,79,90,3.36
119,Ahipara,NZ,2020-12-23 09:23:10,-35.17,173.17,64.04,90,30,6.35
120,Intipuca,SV,2020-12-23 09:23:10,13.2,-88.05,77.31,70,91,2.62
121,Bonavista,CA,2020-12-23 09:23:10,48.65,-53.11,33.8,80,100,3.36
122,Visnes,NO,2020-12-23 09:23:11,59.36,5.22,45.0,75,52,14.99
123,Sharlyk,RU,2020-12-23 09:23:11,52.92,54.75,7.02,94,90,3.49
124,Mahebourg,MU,2020-12-23 09:21:57,-20.41,57.7,80.6,78,75,17.22
125,Qasigiannguit,GL,2020-12-23 09:23:11,68.82,-51.19,23.0,57,100,3.36
126,Vila Franca Do Campo,PT,2020-12-23 09:23:11,37.72,-25.43,53.6,71,40,13.87
127,Naze,JP,2020-12-23 09:19:58,28.37,129.48,66.2,59,75,11.41
128,Mocuba,MZ,2020-12-23 09:23:11,-16.84,36.99,94.87,44,13,5.32
129,Wad Rawah,SD,2020-12-23 09:23:12,15.16,33.14,92.17,19,0,11.03
130,Ilulissat,GL,2020-12-23 09:21:29,69.22,-51.1,23.0,57,100,3.36
131,Tiksi,RU,2020-12-23 09:23:12,71.69,128.87,-17.19,89,100,7.2
132,Kitimat,CA,2020-12-23 09:23:12,54.05,-128.65,27.0,95,100,1.83
133,Marzuq,YE,2020-12-23 09:23:13,14.4,46.47,72.28,26,0,4.83
134,Kavaratti,IN,2020-12-23 09:21:48,10.57,72.64,81.61,74,12,12.5
135,Nukus,UZ,2020-12-23 09:21:44,42.45,59.61,23.0,53,0,4.7
136,Mount Gambier,AU,2020-12-23 09:23:13,-37.83,140.77,60.8,67,90,14.99
137,Deputatskiy,RU,2020-12-23 09:23:13,69.3,139.9,-29.38,86,98,3.06
138,Sterling,US,2020-12-23 09:23:14,39.01,-77.43,32.0,86,1,1.99
139,Ebbs,AT,2020-12-23 09:23:14,47.63,12.22,46.99,86,92,5.82
140,Itaituba,BR,2020-12-23 09:21:17,-4.28,-55.98,72.88,95,98,1.72
141,Oranjemund,NA,2020-12-23 09:23:14,-28.55,16.43,69.39,65,0,15.21
142,Saint-Philippe,RE,2020-12-23 09:23:14,-21.36,55.77,84.99,66,0,32.21
143,Hithadhoo,MV,2020-12-23 09:23:14,-0.6,73.08,82.15,75,83,16.71
144,Dikson,RU,2020-12-23 09:23:15,73.51,80.55,-27.15,84,1,10.6
145,Daru,PG,2020-12-23 09:23:15,-9.08,143.21,81.12,79,100,3.8
146,Bredasdorp,ZA,2020-12-23 09:23:15,-34.53,20.04,77.0,47,6,18.34
147,Mokhsogollokh,RU,2020-12-23 09:23:15,61.47,128.92,-39.89,81,91,0.69
148,Lumphat,KH,2020-12-23 09:23:15,13.49,106.98,85.44,62,97,5.66
149,Markova,UA,2020-12-23 09:23:15,48.68,24.41,37.4,93,75,9.37
150,Tuatapere,NZ,2020-12-23 09:23:15,-46.13,167.68,55.0,96,100,7.0
151,Kangaatsiaq,GL,2020-12-23 09:23:15,68.31,-53.46,16.59,91,99,6.91
152,Gari,RU,2020-12-23 09:23:15,59.43,62.35,25.7,95,0,9.15
153,Samana,DO,2020-12-23 09:23:16,19.21,-69.34,74.5,84,5,8.86
154,Camopi,GF,2020-12-23 09:23:16,3.17,-52.32,71.24,97,86,1.97
155,Phan Thiet,VN,2020-12-23 09:23:16,10.93,108.1,81.23,78,99,14.47
156,Pinega,RU,2020-12-23 09:21:38,64.7,43.39,32.76,97,100,2.13
157,Quatre Cocos,MU,2020-12-23 09:23:16,-20.21,57.76,81.0,78,75,17.22
158,Qeshm,IR,2020-12-23 09:23:17,26.96,56.27,78.8,21,0,9.17
159,Graaff-Reinet,ZA,2020-12-23 09:23:17,-32.25,24.53,84.0,53,0,5.01
160,La Ronge,CA,2020-12-23 09:23:17,55.1,-105.28,-16.6,68,81,0.67
161,Ponta Do Sol,PT,2020-12-23 09:23:17,32.67,-17.1,62.6,77,75,4.7
162,Yarmouth,US,2020-12-23 09:23:18,41.71,-70.23,37.99,55,1,6.93
163,Ipanguacu,BR,2020-12-23 09:23:18,-5.5,-36.85,76.08,79,83,7.16
164,West Wendover,US,2020-12-23 09:23:18,40.74,-114.07,30.2,50,20,17.22
165,Riyadh,SA,2020-12-23 09:21:00,24.69,46.72,69.8,32,0,6.93
166,Hermanus,ZA,2020-12-23 09:23:18,-34.42,19.23,73.0,63,7,11.99
167,Chernyshevskiy,RU,2020-12-23 09:23:19,63.01,112.47,-33.52,86,49,1.03
168,Japura,ID,2020-12-23 09:23:19,-0.32,102.35,83.82,84,93,3.13
169,Te Anau,NZ,2020-12-23 09:20:32,-45.42,167.72,52.65,93,98,3.98
170,Yerbogachen,RU,2020-12-23 09:21:39,61.28,108.01,-15.52,89,90,3.2
171,Tamale,GH,2020-12-23 09:23:19,9.4,-0.84,84.67,16,0,5.66
172,Opuwo,NA,2020-12-23 09:20:06,-18.06,13.84,84.79,14,64,1.79
173,Bud,US,2020-12-23 09:23:19,39.45,-86.18,35.6,74,1,10.29
174,Bairiki,KI,2020-12-23 09:23:19,1.33,172.98,80.6,83,20,11.41
175,Alofi,NU,2020-12-23 09:23:20,-19.06,-169.92,75.2,94,100,3.36
176,Cayenne,GF,2020-12-23 09:23:20,4.93,-52.33,75.2,100,75,2.24
177,Xiuyan,CN,2020-12-23 09:23:20,40.29,123.27,30.51,79,0,7.78
178,Ferme-Neuve,CA,2020-12-23 09:23:20,46.7,-75.45,12.2,78,56,2.24
179,Sept-Iles,CA,2020-12-23 09:23:20,50.2,-66.38,23.0,62,79,19.46
180,Borogontsy,RU,2020-12-23 09:23:20,62.67,131.17,-48.68,76,60,1.32
